Order ID,Amount,Date
99617229,12000.0,23/07/24
25752551,35.0,29/07/24
95197689,11.19999981,06/08/24
89151560,1225.0,13/08/24
79471280,667.9000244,13/08/24
36669936,256.8099976,13/08/24
65981988,40.0,13/08/24
16780815,350.0,25/08/24
34949731,340.0,26/08/24
84490819,9000.0,26/08/24
32805372,700.0,26/08/24
80266019,1000.0,26/08/24
48732520,1750.0,26/08/24
63126963,810.0,26/08/24
49176653,84.0,26/08/24
17396018,362.0,27/08/24
81306467,200.0,26/08/24
43543651,76.0,26/08/24
69007428,2.0,26/08/24
36702557,600.0,25/08/24
23310712,15000.0,26/08/24
71372534,60.0,26/08/24
69072313,223.0,26/08/24
13631362,340.0,26/08/24
18297514,7.699999809,18/09/24
27178082,35.0,27/09/24
15774621,1059.0,12/10/24
71878823,3.630000114,25/10/24
56893464,230.0,26/10/24
85688856,102.0,16/11/24
57673464,173.0,19/11/24
99927636,100.0,12/11/24
68510151,35.0,01/12/24
63554274,58.0,13/04/24
79338124,507.0,26/04/24
19198324,2040.0,08/05/24
80445127,5400.0,16/07/24
51193080,28000.0,29/07/24
45013796,108.0,27/07/24
46885315,2016.0,23/07/24
47221480,150.0,07/08/24
50157984,132.5,06/08/24
30529465,300.0,13/08/24
30725357,555.0,13/08/24
30385965,100.3000031,13/08/24
54749274,3358.100098,26/08/24
35025502,495.5,26/08/24
27937114,57.0,26/08/24
64406097,3.0,26/08/24
43351344,3050.0,26/08/24
29630654,406.0,26/08/24
25544476,16.0,26/08/24
23126828,8500.0,26/08/24
42071204,100.0,26/08/24
22592504,6.300000191,26/08/24
80888552,150.0,26/08/24
45864178,10.0,26/08/24
95202800,10.0,26/08/24
71994644,50.0,26/08/24
22080766,313.0,26/08/24
51144519,174.0,02/09/24
95801678,10000.0,04/09/24
85992415,84.5,18/09/24
72160656,28000.0,01/10/24
80573428,70000.0,06/10/24
39706069,2170.0,22/10/24
26832395,1624.0,14/11/24
47444117,8.0,25/11/24
13986642,14.0,09/04/24
72452114,5835.700195,17/04/24
84050325,20.0,09/08/24
32387155,100.0,13/05/24
31439028,508.0,16/07/24
88420641,1700.0,23/07/24
11190001,500.0,30/07/24
26977529,23.0,07/08/24
80144100,100.0,07/08/24
99646652,500.0,07/08/24
63392311,130.0,07/08/24
58366437,10000.0,13/08/24
13836968,100.0,13/08/24
70469434,13.0,13/08/24
89330444,105.0,13/08/24
60809058,368.0,25/08/24
78377586,25.0,25/08/24
14565692,70.0,26/08/24
95078629,4500.0,25/08/24
46223354,200.0,26/08/24
85801698,350.0,26/08/24
25063187,12.0,26/08/24
47680195,50.0,26/08/24
72341820,8872.0,26/08/24
84258600,2558.0,26/08/24
36418100,4.099999905,26/08/24
54002596,250.5500031,26/08/24
67934894,4.0,26/08/24
91420618,10000.0,02/09/24
16031495,500.0,19/09/24
93376156,1700.0,14/10/24
60583117,100.0,23/10/24
84315414,1.399999976,09/11/24
58192731,255.0,21/11/24
99315383,508.0,19/11/24
85011595,400.0,18/11/24
24582115,178.0,19/11/24
78725216,35.27000046,21/11/24
40131036,6500.0,26/11/24
56221933,35000.0,20/11/24
81109466,3.539999962,11/04/24
19678628,399.0,18/07/24
77464118,13828.0,28/07/24
20191171,1590.0,30/07/24
50584238,716.0,08/08/24
94802087,10.0,06/08/24
34766502,50.0,06/08/24
89393427,227.0,06/08/24
51593934,41.0,13/08/24
42954847,620.0,13/08/24
88594770,2604.0,13/08/24
87031862,80.0,13/08/24
64507583,10000.0,13/08/24
73685094,740.0,20/08/24
67997666,24.0,25/08/24
16057618,30.0,26/08/24
98990214,15.0,26/08/24
70363631,1869.0,26/08/24
44579924,1006.799988,26/08/24
97458201,530.0,26/08/24
77064783,200.0,26/08/24
35856017,5.0,26/08/24
71370679,1200.0,26/08/24
21261627,1020.0,26/08/24
